goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     164	   7306786 ns/op	    317000 nominalGas/op	  411778 B/op	    3916 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     165	   7517541 ns/op	    317000 nominalGas/op	  411845 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     159	   7545984 ns/op	    317000 nominalGas/op	  411846 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-8-16         	     165	   7306387 ns/op	    317000 nominalGas/op	  411800 B/op	    3917 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     940	   1284612 ns/op	     50000 nominalGas/op	   14336 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     891	   1217360 ns/op	     50000 nominalGas/op	   14336 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	    1015	   1181696 ns/op	     50000 nominalGas/op	   14334 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     979	   1211622 ns/op	     50000 nominalGas/op	   14341 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     994	   1204029 ns/op	     50000 nominalGas/op	   14343 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     993	   1235665 ns/op	     50000 nominalGas/op	   14341 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     976	   1186114 ns/op	     50000 nominalGas/op	   14343 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     957	   1312531 ns/op	     50000 nominalGas/op	   14339 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     985	   1247561 ns/op	     50000 nominalGas/op	   14339 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/pointEvaluation1-16    	     992	   1148130 ns/op	     50000 nominalGas/op	   14334 B/op	     131 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    6828	    179259 ns/op	     50000 nominalGas/op	    8433 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    6039	    183676 ns/op	     50000 nominalGas/op	    8428 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    5895	    181484 ns/op	     50000 nominalGas/op	    8433 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    7406	    176802 ns/op	     50000 nominalGas/op	    8432 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    5928	    186321 ns/op	     50000 nominalGas/op	    8433 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    6000	    185850 ns/op	     50000 nominalGas/op	    8431 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    5947	    184432 ns/op	     50000 nominalGas/op	    8430 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    6213	    170951 ns/op	     50000 nominalGas/op	    8432 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    7240	    185049 ns/op	     50000 nominalGas/op	    8431 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    6175	    186278 ns/op	     50000 nominalGas/op	    8432 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6238	    191778 ns/op	     50000 nominalGas/op	    8431 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6666	    176537 ns/op	     50000 nominalGas/op	    8432 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6090	    195011 ns/op	     50000 nominalGas/op	    8430 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5941	    199604 ns/op	     50000 nominalGas/op	    8431 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6075	    216885 ns/op	     50000 nominalGas/op	    8433 B/op	      90 allocs/op
