goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4706	    236985 ns/op	     50000 nominalGas/op	   27416 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4600	    234611 ns/op	     50000 nominalGas/op	   27414 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4798	    255011 ns/op	     50000 nominalGas/op	   27411 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4936	    243188 ns/op	     50000 nominalGas/op	   27419 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    5330	    239757 ns/op	     50000 nominalGas/op	   27421 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-33-16         	    4705	    255056 ns/op	     50000 nominalGas/op	   27418 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5025	    236601 ns/op	     50000 nominalGas/op	   27416 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5023	    234460 ns/op	     50000 nominalGas/op	   27421 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5768	    247721 ns/op	     50000 nominalGas/op	   27419 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4702	    242902 ns/op	     50000 nominalGas/op	   27412 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4706	    238957 ns/op	     50000 nominalGas/op	   27411 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5047	    237457 ns/op	     50000 nominalGas/op	   27422 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4531	    244036 ns/op	     50000 nominalGas/op	   27421 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4630	    237807 ns/op	     50000 nominalGas/op	   27414 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4993	    238552 ns/op	     50000 nominalGas/op	   27418 B/op	     216 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    4762	    243088 ns/op	     50000 nominalGas/op	   27414 B/op	     216 allocs/op
