goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  656336	      1838 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  658435	      1846 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  608917	      1847 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  477508	      2538 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  482636	      2525 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  483409	      2662 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  477936	      2614 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  485450	      2543 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  480189	      2583 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  484342	      2544 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  483661	      2636 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  438514	      2617 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-6        	  481659	      2570 ns/op	       204 gas/op	    1472 B/op	      22 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91324	     13279 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   86946	     13118 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91322	     13099 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   92100	     13192 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91459	     13540 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91496	     13428 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91437	     13148 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   90994	     13208 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91666	     13165 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-6 	   91672	     13127 ns/op	      3276 gas/op	    1968 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  386986	      3172 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  389709	      3215 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  384259	      3078 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  398280	      3175 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  378766	      3201 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  396901	      3148 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  392101	      3139 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  394789	      3132 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  393726	      3128 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-6      	  395610	      3120 ns/op	       665 gas/op	    1824 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  257918	      4689 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  253534	      4810 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  255823	      4678 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
